name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
Curtis Jones,324,90,0,0,0,1,0,0,0,0,0,0,0,13,16.0,20.5,4.0,4.1,1,0.03,0.05,0.08,1.75,0,0,0,0,0,0,0,2,False,374,Liverpool,MID,53,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Caoimhin Kelleher,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,GK,39,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Ibrahima Konaté,326,61,0,0,0,1,0,0,0,0,0,0,0,11,15.8,4.3,0.0,2.0,1,0.00,0.03,0.03,1.23,0,0,0,0,0,0,0,2,False,374,Liverpool,DEF,53,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Luis Díaz,327,68,0,0,0,1,0,0,0,0,0,0,0,11,11.0,13.0,25.0,4.9,1,0.73,0.04,0.77,1.44,0,0,0,0,0,0,0,2,False,374,Liverpool,MID,75,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Mohamed Salah,328,90,1,0,0,1,0,0,0,0,0,0,3,31,40.2,35.3,36.0,11.2,1,0.43,0.42,0.85,1.75,0,0,0,0,0,0,0,10,False,374,Liverpool,MID,136,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Alexis Mac Allister,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,62,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
James McConnell,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,43,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Tyler Morton,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,MID,44,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Nathaniel Phillips,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,DEF,40,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Jarell Quansah,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,DEF,39,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Rhys Williams,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,DEF,40,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Andrew Robertson,335,84,0,0,0,1,0,0,0,0,0,0,0,5,4.2,6.6,2.0,1.3,1,0.00,0.04,0.04,1.44,0,0,0,0,0,0,0,2,False,374,Liverpool,DEF,58,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Dominik Szoboszlai,336,60,0,0,0,1,0,0,0,0,0,0,0,15,10.6,25.7,8.0,4.4,1,0.05,0.10,0.15,1.23,0,0,0,0,0,0,0,2,False,374,Liverpool,MID,61,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Konstantinos Tsimikas,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,374,Liverpool,DEF,46,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Sepp van den Berg,338,90,0,0,0,1,0,0,0,0,0,0,0,16,26.4,0.3,19.0,4.6,1,0.04,0.00,0.04,1.12,0,0,0,0,0,0,0,2,False,380,Brentford,DEF,41,Brentford,Wolverhampton,1,1,False,Wolverhampton,38
Virgil van Dijk,339,90,0,0,0,1,0,0,0,1,0,0,0,16,31.6,5.8,0.0,3.7,1,0.00,0.04,0.04,1.75,0,0,0,0,0,0,0,1,False,374,Liverpool,DEF,67,Crystal Palace,Liverpool,1,1,True,Crystal Palace,38
Manuel Akanji,340,90,0,0,1,0,0,0,0,0,0,0,0,26,9.6,1.7,9.0,2.0,1,0.41,0.01,0.42,1.74,0,0,0,0,0,0,0,6,False,372,Manchester City,DEF,53,Manchester City,Fulham,2,0,False,Fulham,38
Nathan Aké,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,DEF,53,Manchester City,Fulham,2,0,False,Fulham,38
Bernardo Veiga de Carvalho e Silva,342,90,0,0,1,0,0,0,0,0,0,0,0,16,16.0,39.3,6.0,6.1,1,0.00,0.29,0.29,1.74,0,0,0,0,0,0,0,3,False,372,Manchester City,MID,61,Manchester City,Fulham,2,0,False,Fulham,38
Oscar Bobb,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,MID,47,Manchester City,Fulham,2,0,False,Fulham,38
Scott Carson,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,GK,39,Manchester City,Fulham,2,0,False,Fulham,38
Kevin De Bruyne,345,5,0,0,0,0,0,0,0,0,0,0,0,3,0.8,1.3,0.0,0.2,0,0.00,0.01,0.01,0.45,0,0,0,0,0,0,0,1,False,372,Manchester City,MID,95,Manchester City,Fulham,2,0,False,Fulham,38
Jérémy Doku,346,73,0,0,1,0,0,0,0,0,0,0,0,2,0.6,13.8,39.0,5.3,1,0.28,0.16,0.44,1.26,0,0,0,0,0,0,0,3,False,372,Manchester City,MID,62,Manchester City,Fulham,2,0,False,Fulham,38
Ederson Santana de Moraes,347,90,0,0,1,0,0,0,0,0,0,3,0,26,27.2,0.0,0.0,2.7,1,0.00,0.00,0.00,1.74,0,0,0,0,0,0,0,7,False,372,Manchester City,GK,53,Manchester City,Fulham,2,0,False,Fulham,38
Phil Foden,348,8,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.3,2.0,0.5,0,0.00,0.00,0.00,0.45,0,0,0,0,0,0,0,1,False,372,Manchester City,MID,91,Manchester City,Fulham,2,0,False,Fulham,38
Jack Grealish,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,MID,64,Manchester City,Fulham,2,0,False,Fulham,38
Joško Gvardiol,350,90,0,0,1,0,0,0,0,0,0,0,2,33,17.4,12.3,37.0,6.7,1,0.16,0.04,0.20,1.74,0,0,0,0,0,0,0,8,False,372,Manchester City,DEF,65,Manchester City,Fulham,2,0,False,Fulham,38
Erling Haaland,351,84,1,0,1,0,0,0,0,0,0,0,0,29,29.2,11.0,36.0,7.6,1,0.96,0.02,0.98,1.29,0,0,0,0,0,0,0,6,False,372,Manchester City,FWD,149,Manchester City,Fulham,2,0,False,Fulham,38
Julián Álvarez,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,FWD,70,Manchester City,Fulham,2,0,False,Fulham,38
João Cavaco Cancelo,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,DEF,53,Manchester City,Fulham,2,0,False,Fulham,38
Mateo Kovačić,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,MID,54,Manchester City,Fulham,2,0,False,Fulham,38
Rico Lewis,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,DEF,43,Manchester City,Fulham,2,0,False,Fulham,38
Matheus Luiz Nunes,356,90,0,1,1,0,0,0,0,0,0,0,0,28,17.6,17.3,29.0,6.4,1,0.18,0.08,0.26,1.74,0,0,0,0,0,0,0,6,False,372,Manchester City,MID,49,Manchester City,Fulham,2,0,False,Fulham,38
James McAtee,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,MID,46,Manchester City,Fulham,2,0,False,Fulham,38
Stefan Ortega Moreno,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Manchester City,GK,52,Manchester City,Fulham,2,0,False,Fulham,38
Kalvin Phillips,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,373,Ipswich,MID,48,West Ham,Ipswich,3,1,True,West Ham,38
